there are 81540
xy: 553.35187 445.27795
xy: 549.9865 444.81906
xy: 546.64496 443.99634
xy: 543.3668 442.80988
xy: 540.1918 441.26398
xy: 537.15936 439.36737
xy: 534.30835 437.1331
xy: 531.6764 434.5785
xy: 529.29944 431.72513
xy: 527.21136 428.59857
xy: 525.44336 425.22824
xy: 524.02374 421.6471
xy: 522.9773 417.89133
xy: 522.325 414.00006
xy: 522.08386 410.01492
xy: 522.2663 405.9795
xy: 522.88025 401.9391
xy: 523.92865 397.94
xy: 525.4095 394.02917
xy: 527.31573 390.25348
xy: 529.63513 386.6593
xy: 532.35046 383.292
xy: 535.43945 380.1952
xy: 538.87506 377.4104
xy: 542.6256 374.97635
xy: 546.6552 372.9286
xy: 550.9237 371.29895
xy: 555.38763 370.11505
xy: 560.0001 369.4
xy: 564.7118 369.17194
xy: 569.47095 369.4438
xy: 574.22424 370.22293
xy: 578.91754 371.51108
xy: 583.4961 373.30414
xy: 587.90533 375.59207
xy: 592.09174 378.35895
xy: 596.0031 381.58307
xy: 599.5895 385.237
xy: 602.80347 389.2878
xy: 605.6013 393.6974
xy: 607.9429 398.42282
xy: 609.7927 403.41666
xy: 611.1201 408.6275
xy: 611.9 414.00046
xy: 612.1129 419.47778
xy: 611.74554 424.9994
xy: 610.791 430.50357
xy: 609.249 435.92767
xy: 607.1259 441.20883
xy: 604.43494 446.2846
xy: 601.1958 451.09375
xy: 597.4352 455.57693
xy: 593.1858 459.67752
xy: 588.4869 463.34216
xy: 583.3833 466.52155
xy: 577.92535 469.17102
xy: 572.16833 471.25116
xy: 566.17175 472.72827
xy: 559.99915 473.575
xy: 553.717 473.7707
xy: 547.3941 473.30164
xy: 541.1012 472.1616
xy: 534.90955 470.35165
xy: 528.8908 467.8807
xy: 523.1156 464.7652
xy: 517.65326 461.0292
xy: 512.5705 456.70422
xy: 507.931 451.82895
xy: 503.79437 446.449
xy: 500.21558 440.61642
xy: 497.24414 434.3893
xy: 494.92358 427.83112
xy: 493.29065 421.01013
xy: 492.375 413.99866
xy: 492.1986 406.8724
xy: 492.77545 399.70953
xy: 494.1112 392.59
xy: 496.2031 385.5943
xy: 499.03967 378.803
xy: 502.60098 372.2956
xy: 506.85855 366.14954
xy: 511.77554 360.43948
xy: 517.3072 355.23633
xy: 523.401 350.60635
xy: 529.99744 346.61032
xy: 537.0303 343.30286
xy: 544.42737 340.73163
xy: 552.1116 338.93668
xy: 560.001 337.94998
xy: 568.01044 337.79486
xy: 576.052 338.48553
xy: 584.03613 340.02707
xy: 591.8726 342.41492
xy: 599.4715 345.6349
xy: 606.74426 349.66333
xy: 613.6046 354.46713
xy: 619.9697 360.00388
xy: 625.7613 366.22235
xy: 630.9061 373.063
xy: 635.3373 380.45825
xy: 638.9949 388.3335
xy: 641.827 396.60754
xy: 643.79016 405.19366
xy: 644.85 414.00034
xy: 645.3329 418.4725
xy: 645.5802 422.9953
xy: 645.5881 427.55634
xy: 645.353 432.14294
xy: 644.87256 436.7422
xy: 644.14453 441.34094
xy: 643.1677 445.9259
xy: 641.94165 450.48367
xy: 640.46643 455.00067
xy: 638.7429 459.46332
xy: 636.77277 463.85803
xy: 634.55835 468.17117
xy: 632.1029 472.38925
xy: 629.41016 476.49884
xy: 626.4848 480.48663
xy: 623.3322 484.33957
xy: 619.95844 488.04477
xy: 616.37036 491.58966
xy: 612.57544 494.9619
xy: 608.5819 498.14963
xy: 604.39874 501.14124
xy: 600.03546 503.9256
xy: 595.5023 506.49207
xy: 590.8102 508.83044
xy: 585.9705 510.93118
xy: 580.99524 512.7852
xy: 575.89703 514.38403
xy: 570.6889 515.72
xy: 565.3844 516.78577
xy: 559.99756 517.575
xy: 554.5427 518.08203
xy: 549.0348 518.3019
xy: 543.4888 518.23035
xy: 537.92017 517.864
xy: 532.3446 517.2004
xy: 526.77783 516.2377
xy: 521.2361 514.975
xy: 515.73535 513.4123
xy: 510.29196 511.55038
xy: 504.92212 509.39105
xy: 499.64206 506.93683
xy: 494.46793 504.19122
xy: 489.41577 501.15854
xy: 484.50146 497.8441
xy: 479.7407 494.25394
xy: 475.14883 490.3951
xy: 470.74097 486.2754
xy: 466.53186 481.90353
xy: 462.5358 477.289
xy: 458.7667 472.44214
xy: 455.2379 467.37402
xy: 451.96228 462.09656
xy: 448.95206 456.62238
xy: 446.21887 450.96478
xy: 443.7737 445.13776
xy: 441.6268 439.15598
xy: 439.78766 433.03467
xy: 438.265 426.7897
xy: 437.06674 420.4374
xy: 436.19998 413.99463
xy: 435.6709 407.4787
xy: 435.48477 400.90732
xy: 435.64597 394.2985
xy: 436.15793 387.67062
xy: 437.02307 381.0423
xy: 438.24286 374.43234
xy: 439.81772 367.85974
xy: 441.74713 361.34354
xy: 444.02948 354.9029
xy: 446.66217 348.55685
xy: 449.64154 342.32446
xy: 452.96295 336.22464
xy: 456.6206 330.27612
xy: 460.60782 324.49744
xy: 464.91687 318.90674
xy: 469.53894 313.52194
xy: 474.46432 308.36047
xy: 479.68228 303.43933
xy: 485.18118 298.77505
xy: 490.94843 294.38354
xy: 496.97046 290.28012
xy: 503.23303 286.47946
xy: 509.72086 282.99548
xy: 516.41797 279.84137
xy: 523.3076 277.0295
xy: 530.3723 274.5714
xy: 537.59393 272.4777
xy: 544.9536 270.75806
xy: 552.432 269.42126
xy: 560.00916 268.47498
xy: 567.66473 267.92593
xy: 575.37787 267.77972
xy: 583.1274 268.0409
xy: 590.8917 268.71283
xy: 598.64905 269.79785
xy: 606.37756 271.29706
xy: 614.055 273.2104
xy: 621.6592 275.53656
xy: 629.16797 278.27325
xy: 636.5592 281.4168
xy: 643.81085 284.9624
xy: 650.90106 288.90408
xy: 657.80817 293.23462
xy: 664.511 297.94565
xy: 670.9885 303.02765
xy: 677.2203 308.46997
xy: 683.18634 314.2608
xy: 688.86725 320.3872
xy: 694.2442 326.8352
xy: 699.2991 333.58978
xy: 704.0146 340.63483
xy: 708.374 347.95337
xy: 712.3618 355.52744
xy: 715.963 363.33813
xy: 719.1638 371.36572
xy: 721.9514 379.58972
xy: 724.31396 387.98883
xy: 726.2407 396.54108
xy: 727.7222 405.22385
xy: 728.75 414.01395
xy: 729.3169 422.88766
xy: 729.417 431.82083
xy: 729.04553 440.78885
xy: 728.1992 449.76685
xy: 726.876 458.72964
xy: 725.075 467.65192
xy: 722.797 476.5082
xy: 720.0438 485.27298
xy: 716.819 493.92078
xy: 716.819 514.03265
xy: 717.4333 514.39197
xy: 718.11304 515.46204
xy: 718.92163 517.22034
xy: 719.9189 519.6294
xy: 721.1592 522.6379
xy: 722.6895 526.18195
xy: 724.5487 530.1863
xy: 726.76544 534.5657
xy: 729.35785 539.22705
xy: 732.3324 544.0714
xy: 735.6835 548.99567
xy: 739.3935 553.89514
xy: 743.4326 558.66565
xy: 747.75964 563.2055
xy: 752.32214 567.41797
xy: 757.0581 571.213
xy: 761.8968 574.50916
xy: 766.7602 577.23535
xy: 771.56494 579.3321
xy: 776.22394 580.7528
xy: 780.64844 581.46466
xy: 784.7501 581.4491
xy: 788.4427 580.7021
xy: 791.64453 579.23413
xy: 794.2804 577.06995
xy: 796.283 574.24744
xy: 797.59515 570.81714
xy: 798.1709 566.8408
xy: 797.9772 562.39
xy: 796.99426 557.54407
xy: 795.2171 552.3888
xy: 792.6553 547.0142
xy: 789.3334 541.5126
xy: 785.29065 535.9762
xy: 780.58044 530.49567
xy: 775.2694 525.1575
xy: 769.4365 520.04236
xy: 763.1713 515.22363
xy: 756.5725 510.76566
xy: 749.746 506.72214
xy: 742.80286 503.13556
xy: 735.85754 500.03607
xy: 729.0248 497.44116
xy: 722.41833 495.3553
xy: 716.1481 493.77017
xy: 710.3179 492.6651
xy: 705.0238 492.00763
xy: 700.352 491.75458
xy: 696.3771 491.85327
xy: 693.16046 492.243
xy: 690.7494 492.85663
xy: 689.1758 493.62228
xy: 688.4557 494.46548
xy: 688.58923 495.31088
xy: 689.56024 496.08426
xy: 691.33704 496.71457
xy: 693.8729 497.1357
xy: 697.1071 497.28827
xy: 700.9663 497.12112
xy: 705.36584 496.5928
xy: 710.21204 495.67273
xy: 715.40356 494.34192
xy: 720.834 492.59378
xy: 726.3937 490.4344
xy: 731.9723 487.88235
xy: 737.46094 484.96872
xy: 742.7541 481.7363
xy: 747.7523 478.2387
xy: 752.3638 474.53937
xy: 756.5061 470.70993
xy: 760.1079 466.8289
xy: 763.1104 462.97955
xy: 765.4681 459.24832
xy: 767.14954 455.72256
xy: 768.1382 452.48862
xy: 768.43176 449.62967
xy: 768.0428 447.22375
xy: 766.99744 445.34195
xy: 765.33514 444.0464
xy: 763.1072 443.38873
xy: 760.37555 443.40894
xy: 757.2112 444.13388
xy: 753.69226 445.57657
xy: 749.9022 447.7357
xy: 745.92804 450.59515
xy: 741.8578 454.1244
xy: 737.7788 458.27856
xy: 733.7755 462.99927
xy: 729.92786 468.21567
xy: 726.3091 473.84573
xy: 722.98413 479.79767
xy: 720.0086 485.9718
xy: 717.42725 492.26248
xy: 715.2733 498.56024
xy: 713.56744 504.75378
xy: 712.318 510.73248
xy: 711.5205 516.3885
xy: 711.15826 521.6189
xy: 711.2028 526.328
xy: 711.61475 530.42896
xy: 712.3449 533.84607
xy: 713.3357 536.5159
xy: 714.5226 538.3888
xy: 715.83606 539.4298
xy: 717.20306 539.6195
xy: 718.5493 538.95435
xy: 719.801 537.4469
xy: 720.88684 535.12524
xy: 721.73975 532.0326
xy: 722.2991 528.2266
xy: 722.5117 523.7778
xy: 722.33374 518.7682
xy: 721.7318 513.2899
xy: 720.68396 507.44287
xy: 719.1803 501.33304
xy: 717.2235 495.0701
xy: 714.82886 488.76532
xy: 712.0241 482.52924
xy: 708.8491 476.46945
xy: 705.35474 470.6885
xy: 701.6019 465.28183
xy: 697.6607 460.336
xy: 693.6081 455.92694
xy: 689.52673 452.11862
xy: 685.50305 448.96194
xy: 681.62506 446.49387
xy: 677.98035 444.73682
xy: 674.65424 443.69858
xy: 671.7274 443.3724
xy: 669.2743 443.7374
xy: 667.36096 444.75922
xy: 666.0436 446.39124
xy: 665.36694 448.57565
xy: 665.3633 451.24518
xy: 666.051 454.32455
xy: 667.4346 457.73264
xy: 669.50354 461.38416
xy: 672.23315 465.192
xy: 675.58386 469.06903
xy: 679.50275 472.93033
xy: 683.9237 476.69504
xy: 688.76904 480.2883
xy: 693.95087 483.64288
xy: 699.3728 486.70065
xy: 704.93176 489.41394
xy: 710.52014 491.74643
xy: 716.02783 493.67398
xy: 721.3447 495.18497
xy: 726.36255 496.28043
xy: 730.97754 496.97394
xy: 735.0923 497.29108
xy: 738.61804 497.26868
xy: 741.47626 496.9537
xy: 743.60046 496.40213
xy: 744.9376 495.6773
xy: 745.4492 494.84836
xy: 745.11237 493.98834
xy: 743.9198 493.17227
xy: 741.88074 492.4753
xy: 739.02 491.97067
xy: 735.3783 491.72784
xy: 731.0109 491.8105
xy: 725.9868 492.2751
xy: 720.3872 493.16913
xy: 714.304 494.52988
xy: 707.83795 496.3833
xy: 701.09656 498.74323
xy: 694.19196 501.61084
xy: 687.2389 504.97433
xy: 680.3521 508.8091
xy: 673.6444 513.078
xy: 667.2242 517.7321
xy: 661.1936 522.7116
xy: 655.64636 527.947
xy: 650.6664 533.3606
xy: 646.3257 538.86804
xy: 642.6836 544.38055
xy: 639.78564 549.8062
xy: 637.66296 555.0525
xy: 636.3316 560.02814
xy: 635.79285 564.6454
xy: 636.03345 568.82166
xy: 637.026 572.4817
xy: 638.73 575.5595
xy: 641.093 577.9994
xy: 644.052 579.7577
xy: 647.53503 580.80383
xy: 651.4628 581.1211
xy: 655.75104 580.7071
xy: 660.31195 579.57404
xy: 665.05664 577.74854
xy: 669.89703 575.27124
xy: 674.7479 572.19617
xy: 679.5286 568.5895
xy: 684.16504 564.5283
xy: 688.5912 560.0991
xy: 692.7501 555.396
xy: 696.5957 550.5188
xy: 700.093 545.5709
xy: 703.219 540.65704
xy: 705.96265 535.8813
xy: 708.32544 531.3448
xy: 710.3202 527.14355
xy: 711.97107 523.36646
xy: 713.31274 520.0934
xy: 714.38855 517.39343
xy: 715.25 515.32385
xy: 715.95465 513.92804
xy: 716.5645 513.2354
xy: 784.0 794.0
xy: 784.2765 794.44946
xy: 784.5011 794.9567
xy: 784.6649 795.51575
xy: 784.7596 796.1191
xy: 784.7776 796.75836
xy: 784.7125 797.4238
xy: 784.5592 798.1051
xy: 784.31366 798.79083
xy: 783.9734 799.46893
xy: 783.5375 800.12714
xy: 783.0065 800.7526
xy: 782.3825 801.33264
xy: 781.66956 801.85455
xy: 780.873 802.3059
xy: 780.0 802.675
xy: 779.0592 802.9507
xy: 778.0609 803.12286
xy: 777.0165 803.18243
xy: 775.9387 803.12177
xy: 774.8417 802.9345
xy: 773.7401 802.616
xy: 772.6496 802.16345
xy: 771.58636 801.5757
xy: 770.5669 800.8536
xy: 769.60767 800.0
xy: 768.72534 799.01984
xy: 767.93585 797.91986
xy: 767.25476 796.7091
xy: 766.69666 795.39825
xy: 766.275 794.0
xy: 766.0021 792.5288
xy: 765.88855 791.00055
xy: 765.94336 789.43274
xy: 766.17346 787.84406
xy: 766.5838 786.2542
xy: 767.17706 784.68365
xy: 767.9536 783.15344
xy: 768.9114 781.6849
xy: 770.04584 780.2993
xy: 771.35 779.01776
xy: 772.8143 777.8607
xy: 774.4269 776.8477
xy: 776.17334 775.9972
xy: 778.03723 775.3262
xy: 779.99994 774.85
xy: 782.0409 774.582
xy: 784.1377 774.5332
xy: 786.26685 774.7125
xy: 788.4031 775.1261
xy: 790.52075 775.77734
xy: 792.59326 776.66675
xy: 794.5937 777.79193
xy: 796.49524 779.14746
xy: 798.2716 780.7248
xy: 799.89685 782.51245
xy: 801.34644 784.49585
xy: 802.59705 786.65765
xy: 803.62714 788.9778
xy: 804.4172 791.43353
xy: 804.95 793.9999
xy: 805.2112 796.64966
xy: 805.18896 799.35394
xy: 804.87494 802.0822
xy: 804.2638 804.8028
xy: 803.3539 807.4832
xy: 802.1469 810.0905
xy: 800.6484 812.5917
xy: 798.8674 814.9541
xy: 796.81665 817.1459
xy: 794.51263 819.1363
xy: 791.97516 820.89624
xy: 789.2274 822.3985
xy: 786.2958 823.6183
xy: 783.20935 824.53345
xy: 780.0002 825.125
xy: 776.70233 825.3772
xy: 773.35187 825.27795
xy: 769.98645 824.81903
xy: 766.645 823.99634
xy: 763.3668 822.8099
xy: 760.1918 821.264
xy: 757.1593 819.3674
xy: 754.30835 817.13306
xy: 751.6764 814.5785
xy: 749.29944 811.7251
xy: 747.21136 808.5986
xy: 745.44336 805.2282
xy: 744.02374 801.6471
xy: 742.9773 797.89136
xy: 742.325 794.00006
xy: 742.08386 790.0149
xy: 742.2663 785.9795
xy: 742.88025 781.9391
xy: 743.92865 777.94
xy: 745.4095 774.0292
xy: 747.3157 770.2535
xy: 749.63513 766.6593
xy: 752.35046 763.292
xy: 755.43945 760.1952
xy: 758.87506 757.4104
xy: 762.6256 754.9763
xy: 766.6552 752.9286
xy: 770.9237 751.29895
xy: 775.38763 750.11505
xy: 780.0001 749.39996
xy: 784.7118 749.17194
xy: 789.47095 749.4438
xy: 794.22424 750.2229
xy: 798.91754 751.5111
xy: 803.4961 753.30414
xy: 807.90533 755.59204
xy: 812.09174 758.35895
xy: 816.0031 761.58307
xy: 819.5895 765.237
xy: 822.80347 769.2878
xy: 825.6013 773.6974
xy: 827.9429 778.42285
xy: 829.7927 783.4167
xy: 831.1201 788.6275
xy: 831.9 794.0005
xy: 832.1129 799.4778
xy: 831.74554 804.9994
xy: 830.791 810.50354
xy: 829.249 815.9277
xy: 827.1259 821.20886
xy: 824.43494 826.2846
xy: 821.1958 831.09375
xy: 817.4351 835.5769
xy: 813.1858 839.6775
xy: 808.4869 843.34216
xy: 803.3833 846.52155
xy: 797.92535 849.171
xy: 792.16833 851.25116
xy: 786.17175 852.7283
xy: 779.99915 853.575
xy: 773.7169 853.7707
xy: 767.3941 853.30164
xy: 761.1012 852.16156
xy: 754.90955 850.3517
xy: 748.89075 847.88074
xy: 743.1156 844.7652
xy: 737.65326 841.02924
xy: 732.57056 836.7042
xy: 727.931 831.8289
xy: 723.7944 826.449
xy: 720.2156 820.61646
xy: 717.24414 814.38934
xy: 714.9236 807.8311
xy: 713.29065 801.01013
xy: 712.375 793.99866
xy: 712.1986 786.87244
xy: 712.77545 779.70953
xy: 714.1112 772.58997
xy: 716.2031 765.5943
xy: 719.0397 758.80304
xy: 722.60095 752.2956
xy: 726.8585 746.14954
xy: 731.7755 740.4395
xy: 737.3071 735.2363
xy: 743.401 730.6063
xy: 749.99744 726.61035
xy: 757.0303 723.30286
xy: 764.42737 720.7316
xy: 772.1116 718.9367
xy: 780.001 717.95
xy: 788.01044 717.79486
xy: 796.052 718.48553
xy: 804.03613 720.0271
xy: 811.8726 722.4149
xy: 819.4715 725.6349
xy: 826.7442 729.6633
xy: 833.60455 734.4671
xy: 839.9697 740.00385
xy: 845.7613 746.22235
xy: 850.9061 753.063
xy: 855.3373 760.45825
xy: 858.9949 768.3335
xy: 861.827 776.60754
xy: 863.79016 785.19366
xy: 864.85 794.0003
xy: 865.3329 798.4725
xy: 865.5802 802.9953
xy: 865.5881 807.55634
xy: 865.353 812.14294
xy: 864.87256 816.7422
xy: 864.14453 821.34094
xy: 863.1677 825.9259
xy: 861.94165 830.48364
xy: 860.46643 835.0007
xy: 858.7429 839.4633
xy: 856.77277 843.85803
xy: 854.55835 848.17114
xy: 852.1029 852.3892
xy: 849.41016 856.49884
xy: 846.4848 860.48663
xy: 843.3322 864.3396
xy: 839.95844 868.0448
xy: 836.37036 871.58966
xy: 832.57544 874.9619
xy: 828.5819 878.14966
xy: 824.39874 881.14124
xy: 820.03546 883.9256
xy: 815.5024 886.49207
xy: 810.8102 888.83044
xy: 805.9705 890.9312
xy: 800.99524 892.7852
xy: 795.89703 894.38403
xy: 790.6889 895.72
xy: 785.3844 896.78577
xy: 779.99756 897.575
xy: 774.5427 898.08203
xy: 769.0348 898.3019
xy: 763.4888 898.23035
xy: 757.92017 897.864
xy: 752.3446 897.2004
xy: 746.77783 896.2377
xy: 741.2361 894.975
xy: 735.73535 893.4123
xy: 730.292 891.5504
xy: 724.9221 889.39105
xy: 719.6421 886.9368
xy: 714.4679 884.1912
xy: 709.4158 881.15857
xy: 704.50146 877.8441
xy: 699.7407 874.25397
xy: 695.1488 870.3951
xy: 690.74097 866.2754
xy: 686.53186 861.90356
xy: 682.53577 857.289
xy: 678.7667 852.44214
xy: 675.2379 847.374
xy: 671.9623 842.09656
xy: 668.952 836.6224
xy: 666.2189 830.9648
xy: 663.7737 825.13776
xy: 661.62683 819.15594
xy: 659.78766 813.03467
xy: 658.265 806.7897
xy: 657.0668 800.4374
xy: 656.19995 793.9946
xy: 655.6709 787.4787
xy: 655.48474 780.9073
xy: 655.646 774.29846
xy: 656.15796 767.6706
xy: 657.0231 761.0423
xy: 658.24286 754.4324
xy: 659.81775 747.85974
xy: 661.74713 741.34357
xy: 664.0295 734.9029
xy: 666.6622 728.5568
xy: 669.64154 722.32446
xy: 672.96295 716.2247
xy: 676.6206 710.2761
xy: 680.6078 704.49744
xy: 684.9169 698.90674
xy: 689.53894 693.522
xy: 694.46436 688.3605
xy: 699.68225 683.43933
xy: 705.18115 678.7751
xy: 710.9484 674.38354
xy: 716.97046 670.28015
xy: 723.23303 666.4795
xy: 729.7208 662.9955
xy: 736.41797 659.8414
xy: 743.3076 657.02954
xy: 750.3723 654.5714
xy: 757.59393 652.47766
xy: 764.9536 650.75806
xy: 772.432 649.42126
xy: 780.00916 648.475
xy: 787.66473 647.9259
xy: 795.37787 647.7797
xy: 803.1274 648.0409
xy: 810.8917 648.7128
xy: 818.6491 649.79785
xy: 826.37756 651.29706
xy: 834.055 653.2104
xy: 841.6592 655.53656
xy: 849.168 658.27325
xy: 856.5592 661.4168
xy: 863.81085 664.9624
xy: 870.90106 668.9041
xy: 877.80817 673.2346
xy: 884.511 677.9457
xy: 890.9885 683.02765
xy: 897.2203 688.47
xy: 903.18634 694.2608
xy: 908.86725 700.3872
xy: 914.2442 706.8352
xy: 919.2991 713.5898
xy: 924.0146 720.6348
xy: 928.374 727.95337
xy: 932.3618 735.52747
xy: 935.963 743.33813
xy: 939.1638 751.3657
xy: 941.9514 759.5897
xy: 944.31396 767.98883
xy: 946.2407 776.5411
xy: 947.7222 785.2239
xy: 948.75 794.014
xy: 949.3169 802.8877
xy: 949.417 811.82086
xy: 949.04553 820.7889
xy: 948.1992 829.76685
xy: 946.876 838.7297
xy: 945.075 847.6519
xy: 942.797 856.50824
xy: 940.0438 865.273
xy: 936.819 873.9208
xy: 933.1271 882.42615
xy: 928.9741 890.764
xy: 924.3677 898.90924
xy: 919.3164 906.8373
xy: 913.83057 914.52386
xy: 907.92145 921.9451
xy: 901.6019 929.07794
xy: 894.8859 935.89954
xy: 887.78876 942.38794
xy: 880.32684 948.52203
xy: 872.51794 954.2813
xy: 864.38086 959.64624
xy: 855.9354 964.59827
xy: 847.2025 969.1198
xy: 838.2042 973.19434
xy: 828.9634 976.80634
xy: 819.5037 979.94165
xy: 809.84985 982.5873
xy: 800.0272 984.73145
xy: 790.06177 986.3637
xy: 790.06177 1006.4756
xy: 790.676 1006.83484
xy: 791.3558 1007.905
xy: 792.16437 1009.66327
xy: 793.1616 1012.07227
xy: 794.4019 1015.0808
xy: 795.93225 1018.6249
xy: 797.79144 1022.6292
xy: 800.0082 1027.0085
xy: 802.6006 1031.6699
xy: 805.57513 1036.5144
xy: 808.9263 1041.4386
xy: 812.6362 1046.3381
xy: 816.6754 1051.1085
xy: 821.0024 1055.6484
xy: 825.56494 1059.8608
xy: 830.3009 1063.656
xy: 835.1395 1066.9521
xy: 840.0029 1069.6782
xy: 844.8077 1071.775
xy: 849.46674 1073.1958
xy: 853.89124 1073.9076
xy: 857.99286 1073.8921
xy: 861.6854 1073.145
xy: 864.8873 1071.6771
xy: 867.5232 1069.513
xy: 869.52576 1066.6904
xy: 870.8379 1063.2601
xy: 871.4137 1059.2838
xy: 871.2199 1054.8329
xy: 870.23706 1049.9869
xy: 868.45984 1044.8317
xy: 865.8981 1039.4572
xy: 862.5762 1033.9556
xy: 858.53345 1028.4192
xy: 853.82324 1022.9386
xy: 848.5122 1017.60034
xy: 842.6793 1012.4853
xy: 836.4141 1007.6666
xy: 829.81525 1003.20856
xy: 822.9887 999.1651
xy: 816.04565 995.5785
xy: 809.1003 992.479
xy: 802.2676 989.8841
xy: 795.66113 987.7982
xy: 789.3908 986.21313
xy: 783.5606 985.10803
xy: 778.26654 984.45056
xy: 773.5947 984.1975
xy: 769.6199 984.2962
xy: 766.4032 984.686
xy: 763.9921 985.29956
xy: 762.4185 986.06525
xy: 761.6984 986.90845
xy: 761.832 987.7538
xy: 762.803 988.5272
xy: 764.57983 989.15753
xy: 767.1157 989.5787
xy: 770.34985 989.7312
xy: 774.20905 989.564
xy: 778.60864 989.03577
xy: 783.45483 988.11566
xy: 788.64636 986.78485
xy: 794.0768 985.03674
xy: 799.6365 982.8773
xy: 805.2151 980.32526
xy: 810.7037 977.4117
xy: 815.9969 974.1792
xy: 820.9951 970.68164
xy: 825.60657 966.9823
xy: 829.74884 963.1529
xy: 833.35065 959.27185
xy: 836.35315 955.4225
xy: 838.7108 951.6913
xy: 840.39233 948.1655
xy: 841.3809 944.9315
xy: 841.67456 942.0726
xy: 841.2855 939.6667
xy: 840.2402 937.7849
xy: 838.5779 936.4893
xy: 836.35 935.83167
xy: 833.61835 935.85187
xy: 830.454 936.5768
xy: 826.935 938.01953
xy: 823.145 940.1786
xy: 819.17084 943.0381
xy: 815.1005 946.5673
xy: 811.02155 950.7215
xy: 807.0183 955.4422
xy: 803.17065 960.6586
xy: 799.5518 966.2887
xy: 796.22687 972.2406
xy: 793.25134 978.41473
xy: 790.67004 984.70544
xy: 788.51605 991.0032
xy: 786.8102 997.1967
xy: 785.5607 1003.1754
xy: 784.76324 1008.8314
xy: 784.401 1014.0618
xy: 784.44556 1018.7709
xy: 784.85754 1022.8719
xy: 785.58765 1026.2891
xy: 786.5785 1028.9589
xy: 787.7654 1030.8318
xy: 789.0788 1031.8728
xy: 790.4458 1032.0624
xy: 791.7921 1031.3972
xy: 793.0438 1029.8899
xy: 794.1296 1027.5681
xy: 794.98254 1024.4756
xy: 795.5419 1020.66956
xy: 795.75446 1016.2207
xy: 795.57654 1011.2111
xy: 794.9746 1005.73285
xy: 793.92676 999.8858
xy: 792.4231 993.77594
xy: 790.46625 987.51306
xy: 788.0716 981.20825
xy: 785.26685 974.97217
xy: 782.09186 968.91235
xy: 778.5975 963.1314
xy: 774.8447 957.72473
xy: 770.90344 952.77893
xy: 766.8508 948.3699
xy: 762.76953 944.5615
xy: 758.74585 941.4049
xy: 754.8678 938.93677
xy: 751.22314 937.17975
xy: 747.897 936.14154
xy: 744.9702 935.81537
xy: 742.5171 936.1803
xy: 740.60376 937.20215
xy: 739.2864 938.83417
xy: 738.60974 941.0186
xy: 738.606 943.6881
xy: 739.29376 946.76746
xy: 740.6773 950.17554
xy: 742.74634 953.8271
xy: 745.4759 957.63495
xy: 748.82666 961.51196
xy: 752.7455 965.3732
xy: 757.16644 969.138
xy: 762.0118 972.73126
xy: 767.1936 976.0858
xy: 772.6156 979.14355
xy: 778.17456 981.8569
xy: 783.76294 984.1894
xy: 789.2706 986.11694
xy: 794.58746 987.62787
xy: 799.60535 988.7234
xy: 804.22034 989.4169
xy: 808.3351 989.734
xy: 811.86084 989.7116
xy: 814.71906 989.3966
xy: 816.8432 988.8451
xy: 818.18036 988.12024
